Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
Uby,Support,Unicorns of Love,,0,0,0,0,0,0,0,0,0 / 0 / 0
Vizicsacsi,Top,Unicorns of Love,,578.78,26.31,30,82,101,179,"7,954",6,0 / 0 / 0
,,UOL vs. VIT,Win (2-0),67.84,33.92,2,5,2,13,542,0,0 / 0 / 0
,,UOL vs. MM,Win (2-0),64.45,32.23,2,10,4,25,495,2,0 / 0 / 0
,,UOL vs. H2K,Win (2-1),36.93,18.47,3,7,11,27,749,2,0 / 0 / 0
,,UOL vs. SPY,Loss (1-2),63.1,31.55,3,6,15,17,774,0,0 / 0 / 0
,,UOL vs. G2,Win (2-1),35.74,17.87,3,4,7,12,729,0,0 / 0 / 0
,,UOL vs. NIP,Win (2-1),75.68,37.84,3,5,8,23,809,1,0 / 0 / 0
,,UOL vs. MSF,Win (2-1),47.88,23.94,3,9,19,16,905,1,0 / 0 / 0
,,UOL vs. ROC,Loss (1-2),13.77,6.89,3,6,12,9,813,0,0 / 0 / 0
,,UOL vs. FNC,Loss (1-2),30.75,15.38,3,11,12,11,771,0,0 / 0 / 0
,,UOL vs. MM,Win (2-1),82.46,41.23,3,14,9,16,758,0,0 / 0 / 0
,,UOL vs. SPY,Win (2-0),60.18,30.09,2,5,2,10,609,0,0 / 0 / 0
Xerxe,Jungler,Unicorns of Love,,615.49,27.98,30,80,50,215,"4,941",11,0 / 0 / 0
,,UOL vs. VIT,Win (2-0),73.7,36.85,2,3,0,17,335,1,0 / 0 / 0
,,UOL vs. MM,Win (2-0),68.12,34.06,2,8,3,31,312,2,0 / 0 / 0
,,UOL vs. H2K,Win (2-1),39.08,19.54,3,11,5,23,492,2,0 / 0 / 0
,,UOL vs. SPY,Loss (1-2),73.68,36.84,3,9,9,18,459,0,0 / 0 / 0
,,UOL vs. G2,Win (2-1),54.9,27.45,3,11,4,12,492,0,0 / 0 / 0
,,UOL vs. NIP,Win (2-1),64.12,32.06,3,12,4,14,638,0,0 / 0 / 0
,,UOL vs. MSF,Win (2-1),56.86,28.43,3,5,5,25,492,2,0 / 0 / 0
,,UOL vs. ROC,Loss (1-2),32.63,16.32,3,8,3,20,423,1,0 / 0 / 0
,,UOL vs. FNC,Loss (1-2),32.08,16.04,3,4,10,20,443,1,0 / 0 / 0
,,UOL vs. MM,Win (2-1),69.02,34.51,3,2,6,30,390,2,0 / 0 / 0
,,UOL vs. SPY,Win (2-0),51.3,25.65,2,7,1,5,465,0,0 / 0 / 0
